1,NombreColumna,Separador,col,col2,dato
2,F1,1,Client,%s,smallint(5) unsigned
3,Factura,2,Branch,%s,smallint(5) unsigned
4,FechaFactura,3,Factura,%s,varchar(15)
5,NumeroParte,4,FechaFactura,%s,date
6,Descripcion,5,TipoProveedor,%s,varchar(30)
7,Cantidad,6,NumeroProveedor,%s,varchar(10)
8,`CostoUnit$`,7,NombreProveedor,%s,varchar(30)
9,`Costo$`,8,TipoCompra,%s,varchar(30)
10,TipoProveedor,9,NumeroParte,%s,varchar(20)
11,TipoCompra,10,Descripcion,%s,varchar(30)
12,NumeroProveedor,11,Cantidad,%s,"decimal(15,4)"
13,NombreProveedor,12,`CostoUnit$`,%s,"decimal(18,4)"
,,13,`Costo$`,%s,"decimal(35,10)"
