1,NombreColumnas,Separador,col,col2,dato
2,F1,1,Client,%s,smallint(5) unsigned
3,Factura,2,Branch,%s,smallint(5) unsigned
4,FechaFactura,3,Factura,%s,varchar(15)
5,NumeroOT,4,FechaFactura,%s,date
6,NumeroParte,5,NumeroParte,%s,varchar(20)
7,Descripcion,6,Descripcion,%s,varchar(30)
8,Cantidad,7,Cantidad,%s,"decimal(15,4)"
9,`CostoUnit$`,8,`VentaUnit$`,%s,"decimal(18,4)"
10,`Costo$`,9,`Venta$`,%s,"decimal(35,10)"
11,`VentaUnit$`,10,`CostoUnit$`,%s,"decimal(18,4)"
12,`Venta$`,11,`Costo$`,%s,"decimal(35,10)"
13,`Utilidad$`,12,`Utilidad$`,%s,"decimal(18,4)"
14,Margen,13,Margen,%s,"decimal(15,4)"
15,TipoOrden,14,RFC,%s,varchar(13)
16,Taller,15,NumeroOT,%s,varchar(10)
17,RFC,16,TipoOrden,%s,varchar(30)
,,17,Taller,%s,varchar(30)
