1,NombreColumnas,Separador,col,col2,dato
2,F1,1,Client,%s,smallint(5) unsigned
3,NumeroOT,2,Branch,%s,smallint(5) unsigned
4,CodigoOperacion,3,NumeroOT,%s,varchar(10)
5,FechaCierre,4,CodigoOperacion,%s,varchar(15)
6,HorasPagadas,5,FechaCierre,%s,date
7,HorasFacturadas,6,Taller,%s,varchar(30)
8,NumeroMecanico,7,TipoOrden,%s,varchar(30)
9,NombreMecanico,8,HorasPagadas,%s,"decimal(15,4)"
10,Taller,9,HorasFacturadas,%s,"decimal(35,10)"
11,TipoOrden,10,NumeroMecanico,%s,varchar(10)
,,11,NombreMecanico,%s,varchar(30)
