1,NombreColumnas,Separador,col,col2,dato
2,F1,1,Client,%s,smallint(5) unsigned
3,Factura,2,Branch,%s,smallint(5) unsigned
4,FechaFactura,3,FechaFactura,%s,date
5,NumeroOT,4,FechaApertura,%s,date
6,FechaApertura,5,Dias,%s,int(11)
7,FechaEntrega,6,Factura,%s,varchar(15)
8,CodigoOperacion,7,Taller,%s,varchar(30)
9,Descripcion,8,TipoOrden,%s,varchar(30)
10,TipoOperacion,9,TipoPago,%s,varchar(30)
11,`CostoMO$`,10,NumeroOT,%s,varchar(10)
12,`CostoMateriales$`,11,VentasNetas,%s,tinyint(4)
13,`CostoTOT$`,12,CodigoOperacion,%s,varchar(15)
14,`CostoPartes$`,13,Descripcion,%s,varchar(30)
15,`VentaMO$`,14,`Venta$`,%s,"decimal(35,10)"
16,`VentaMateriales$`,15,`Costo$`,%s,"decimal(35,10)"
17,`VentaTOT$`,16,`Utilidad$`,%s,"decimal(18,4)"
18,`VentaPartes$`,17,Margen,%s,"decimal(15,4)"
19,`DescuentoMO$`,18,`VentaMO$`,%s,"decimal(18,4)"
20,`DescuentoMateriales$`,19,`DescuentoMO$`,%s,"decimal(18,4)"
21,`DescuentoTOT$`,20,`CostoMO$`,%s,"decimal(18,4)"
22,`DescuentoPartes$`,21,`VentaMateriales$`,%s,"decimal(18,4)"
23,`CostoTotal$`,22,`DescuentoMateriales$`,%s,"decimal(18,4)"
24,`VentaTotal$`,23,`CostoMateriales$`,%s,"decimal(18,4)"
25,`Utilidad$`,24,`VentaTOT$`,%s,"decimal(18,4)"
26,Margen,25,`DescuentoTOT$`,%s,"decimal(18,4)"
27,Taller,26,`CostoTOT$`,%s,"decimal(18,4)"
28,NumeroAsesor,27,`VentaPartes$`,%s,"decimal(18,4)"
29,NombreAsesor,28,`DescuentoPartes$`,%s,"decimal(18,4)"
30,NombreCliente,29,`CostoPartes$`,%s,"decimal(18,4)"
31,RFC,30,`VentaTotal$`,%s,"decimal(35,10)"
32,Direccion,31,`CostoTotal$`,%s,"decimal(18,4)"
33,Telefono,32,NumeroAsesor,%s,varchar(10)
34,CP,33,NombreAsesor,%s,varchar(30)
35,Email,34,RFC,%s,varchar(13)
36,Odometro,35,NombreCliente,%s,varchar(30)
37,Vin,36,Direccion,%s,varchar(80)
38,Ano,37,Telefono,%s,varchar(15)
39,Marca,38,CP,%s,char(5)
40,Modelo,39,Email,%s,varchar(40)
41,Color,40,Odometro,%s,"decimal(15,4)"
42,Interior,41,Vin,%s,varchar(17)
43,TipoOrden,42,Ano,%s,int(11)
44,TipoPago,43,Marca,%s,varchar(10)
,,44,Modelo,%s,varchar(30)
,,45,Color,%s,varchar(30)
,,46,Interior,%s,varchar(15)
,,47,FechaEntrega,%s,date
,,48,TipoOperacion,%s,varchar(30)
