1,NombreColumnas,Separador,col,col2,dato
2,F1,1,Client,%s,smallint(5) unsigned
3,Factura,2,Branch,%s,smallint(5) unsigned
4,FechaFactura,3,Factura,%s,varchar(15)
5,TipoVenta,4,FechaFactura,%s,date
6,TipoPago,5,TipoVenta,%s,varchar(30)
7,Vin,6,TipoPago,%s,varchar(30)
8,NumeroInventario,7,Vin,%s,varchar(17)
9,`Isan$`,8,NumeroInventario,%s,varchar(10)
10,`Costo$`,9,`Isan$`,%s,"decimal(18,4)"
11,`Venta$`,10,`Costo$`,%s,"decimal(35,10)"
12,`Utilidad$`,11,`Venta$`,%s,"decimal(35,10)"
13,Margen,12,`Utilidad$`,%s,"decimal(18,4)"
14,Ano,13,Margen,%s,"decimal(15,4)"
15,Marca,14,Ano,%s,int(11)
16,Modelo,15,Marca,%s,varchar(10)
17,Color,16,Modelo,%s,varchar(30)
18,Interior,17,Color,%s,varchar(30)
19,NumeroVendedor,18,Interior,%s,varchar(15)
20,NombreVendedor,19,NumeroVendedor,%s,varchar(10)
21,FechaCompra,20,NombreVendedor,%s,varchar(30)
22,FechaEntrega,21,FechaCompra,%s,date
23,NombreCliente,22,FechaEntrega,%s,date
24,RFC,23,NombreCliente,%s,varchar(30)
25,Direccion,24,RFC,%s,varchar(15)
26,Telefono,25,Direccion,%s,varchar(80)
27,CP,26,Telefono,%s,varchar(15)
28,Email,27,CP,%s,char(5)
,,28,Email,%s,varchar(40)
,,29,VentasNetas,%s,tinyint(4)
